sentence,intent,category
돼지고기 사려구요,부위별 고기 주문,정육점
한 근 주세요,용량별 고기 주문,정육점
현금영수증 되나요?,현금영수증 발급 요청,정육점
장조림 하기 좋은 부위가 뭔가요?,용도별 고기 문의,정육점
두 근만 주세요,용량별 고기 주문,정육점
요즘 삼겹살 한 근에 얼만가요?,가격 문의,정육점
삼겹살도 두 근 주세요,용량별 고기 주문,정육점
혹시 담아갈 수 있는 봉투 있나요?,포장방법 요청,정육점
돼지고기 앞다리살 있나요?,부위별 고기 주문,정육점
썰어서 주실 수 있을까요?,고기 썰기 주문,정육점
썰어서 보관할 때는 어떻게 해야하나요?,보관법 문의,정육점
이 소스도 함께 구입 가능한가요?,소스 판매 문의,정육점
아이스팩 함께 주실 수 있을까요?,포장방법 요청,정육점
돼지고기 갈비찜하려는데 얼마나 사야 할 지 모르겠네요,0인분 용량 문의,정육점
그래서 얼마나 사면 될까요?,0인분 용량 문의,정육점
질기지 않도록 잘 썰어서 주세요,고기 썰기 주문,정육점
카레용 돼지고기 있어요?,용도별 고기 주문,정육점
한 근에 얼마에요?,가격 문의,정육점
좀 작게 잘라져있는거 있을까요?,고기 썰기 주문,정육점
그럼 돼지고기 두근 주세요,용량별 고기 주문,정육점
비닐봉투에 담아주실수있나요?,포장방법 요청,정육점
찌개용 돼지고기 사려고 왔어요,용도별 고기 주문,정육점
보통 어른 2명이 먹을거면 얼마나 사야하나요?,0인분 용량 문의,정육점
그럼 좀 많이 먹는 편이니 세 근 주세요,용량별 고기 주문,정육점
아니요 현금영수증은 괜찮고 여기 명함 하나 가져가도 될까요?,매장 연락처 요청,정육점
삼겹살 한 근 주세요 ,용량별 고기 주문,정육점
목살은 얼만데요? ,가격 문의,정육점
시식은 없어요? ,시식 문의,정육점
목살로 한근 주세요 ,용량별 고기 주문,정육점
돼지 뒷다리 있어요?,부위별 고기 주문,정육점
100g에 얼마에요?,가격 문의,정육점
비계 많아요?,지방 비율,정육점
찌개에는 무슨 고기 들어가요?,용도별 고기 문의,정육점
그럼 찌개용이랑 뒷다리 주세요,용도+고기 부위 주문,정육점
콩나물 주세요  ,일반형(제품명) 주문,청과물
요즘 사과도 나오나봐요?,제철 과일나물 문의,청과물
사과는 한박스에 얼마에요?,가격 문의,청과물
사과도 한박스 주세요 ,일반형(제품명) 주문,청과물
오늘 과일 좋은거 뭐 있어요?,제품 문의,청과물
사과는 달콤한 맛인가요?,과일당도 문의,청과물
그럼 사과한박스 주세요,일반형(제품명) 주문,청과물
귤도 좀 사고 싶은데 시지 않아요?,과일당도 문의,청과물
그럼 귤도한박스해서 배달되죠?,배달 문의요청,청과물
요즘 과일 좋은게 뭔가요?,제철 과일나물 문의,청과물
사과 얼만가요?,가격 문의,청과물
사과 2만원어치 주세요,일반형(제품명) 주문,청과물
한라봉은 요즘 얼마죠?,가격 문의,청과물
나중에 살게요,,청과물
귤이 단가요 신가요?,과일당도 문의,청과물
얼마에요?,가격 문의,청과물
바나나도 있나요?,찾는과일 문의,청과물
카드 결제 되나요?,카드결제,청과물
네 귤이랑 바나나 주세요.,일반형(제품명) 주문,청과물
중국산인가요?,원산지 문의,청과물
저 사과는 1박스에 얼마인가요?,가격 문의,청과물
지금 이 과일이 제철인가요?,제철 과일나물 문의,청과물
혹시 택배 가능한가요?,배달 문의요청,청과물
혹시 한 번 맛볼 수 있나요?,시식 가능여부,청과물
요즘 어떤 과일이 맛있나요?,제철 과일나물 문의,청과물
귤 상태가 별로인것 같은데 다른 과일 추천해 주세요,취급하는 제품 추천 요청,청과물
오늘은 이것만 살께요,결제요청,청과물
천혜향 판매하나요?,찾는과일 문의,청과물
한 봉지에 얼마에요?,판매단위별 가격 문의,청과물
그럼 8개 현금영수증 할게요,현금영수증 발급 요청,청과물
보관은 실내에 둬도 괜찮아요?,보관방법 문의,청과물
껍질은 일반쓰레기죠?,쓰레기 처리방법 문의,청과물
저기 혹시 귤 들어온 거 있나요?,찾는과일 문의,청과물
아 그럼 한라봉 주세요,일반형(제품명) 주문,청과물
아하 그럼 6개만 주세요,일반형(제품명) 주문,청과물
사과는 지금 여기 있는게 다에요?,찾는과일 문의,청과물
제사상에 올릴 과일 찾는데 알이 좀 더 컸으면 해서요,제수용 문의,청과물
얘는 그래서 얼마에요?,가격 문의,청과물
맛도 더 있는거죠?,과일당도 문의,청과물
혹시 봉투값 따로 받으시나요?,비닐봉투 문의,청과물
선물용으로 보낼 질 좋은 사과가 있나요?,선물용 문의주문,청과물
총 3박스 필요합니다.,선물용 문의주문,청과물
택배도 가능한가요?,배달 문의요청,청과물
2박스 더 구매하겠습니다.,포장별 제품 주문,청과물
"아니요, 결제해주세요.",결제요청,청과물
요즘 제철과일이 뭐죠?,제철 과일나물 문의,청과물
딸기 맛있나요?,과일당도 문의,청과물
또 다른 맛있는 과일 없나요?,추천상품 문의,청과물
천혜향 비싸지않나요?,가격 문의,청과물
그럼 천혜향이랑 딸기 한박스씩 주세요.,일반형(제품명) 주문,청과물
사과 하나에 얼마인가요?,가격 문의,청과물
배는 얼마인가요?,가격 문의,청과물
"사과 4개, 배 4개 주세요.",일반형(제품명) 주문,청과물
귤 한 묶음도 같이 주세요.,일반형(제품명) 주문,청과물
그럼 총 얼마인가요?,가격 문의,청과물
고구마 맛있을까요?,제품 문의,청과물
호박 고구마 있나요?,찾는채소 문의,청과물
딸기 싱싱한가요?,신선도 문의,청과물
오래된거 아니죠?,신선도 문의,청과물
포인트 적립도 해주세요 ,적립 문의,청과물
지금 제일 싱싱한 과일이 뭔가요?,신선도 문의,청과물
수박은지금 없나요?,찾는과일 문의,청과물
과일은 냉장 보관해야하나요?,보관방법 문의,청과물
배달도 가능한가요?,배달 문의요청,청과물
그럼 이 딸기로 배달해 주세요.,배달 문의요청,청과물
수박있나요?,찾는과일 문의,청과물
그럼 키위는 있나요?,찾는과일 문의,청과물
키위 낱개로는 구매 못해요?,판매단위 문의,청과물
키위 1개당 얼마에요?,가격 문의,청과물
왜 낱개랑 팩이랑 금액이 다르죠?,가격 비교,청과물
요즘 제철 과일이 뭔가요?,제철 과일나물 문의,청과물
딸기는 얼마인가요?,가격 문의,청과물
배는 몇 일 보관가능한가요?,보관방법 문의,청과물
사과 5000원치만 주실 수 있나요?,판매단위 문의,청과물
외상되나요?,외상 문의,청과물
우리 애들 과일 좀 먹여야지,추천상품 문의,청과물
딸기 좋아하겠네 얼마에요?,가격 문의,청과물
바나나는 얼마에요?,가격 문의,청과물
사과는 애들이 잘 안먹어서 자두는요?,가격 문의,청과물
자두 포장해주세요,포장 요청,청과물
사과 하나에 얼마예요?,가격 문의,청과물
 사과만 포장으로  가능한가요?,포장 문의,청과물
그럼 사과만 선물 포장 해 주세요.,선물용 포장 요청,청과물
상품권 결제도 가능한가요?,상품권 사용 가능여부,청과물
딸기 얼마에요?,가격 문의,청과물
어디서 온 거에요?,원산지 문의,청과물
유통기한도 있나요?,유통기한 문의,청과물
사과 한 박스랑 딸기 세 팩 주세요,일반형(제품명) 주문,청과물
영수증은 버려주세요,영수증 처리 요청,청과물
사과 박스로도 구입이 가능한가요?,판매단위 문의,청과물
아직 수박은 판매를 안하나요?,찾는과일 문의,청과물
과일을 선물용으로 사려고하는데 가능한가요?,선물용 문의주문,청과물
이 상품 벌레가 먹은 거 같아요.,제품 이상시 처리 문의,청과물
수표밖에 없는데 가능한가요?,결재수단 문의,청과물
딸기 한 바구니에 얼마에요?,가격 문의,청과물
비싼데 좀 작은 건 없나요?,싸게파는 물건 문의,청과물
맛은 괜찮으려나?,제품 문의,청과물
그럼 작은 걸로 두 바구니 주세요,포장별 제품 주문,청과물
삼성페이 되나요?,삼성페이카카오페이 문의,청과물
요새 제철인 과일이 무엇인가요?,제철 과일나물 문의,청과물
한라봉도 있나요 ?,찾는과일 문의,청과물
네 2박스 주세요,일반형(제품명) 주문,청과물
딸기 나왔나요?,찾는과일 문의,청과물
귤도 있나요?,찾는과일 문의,청과물
중간 크기로 한소쿠리 주세요,포장별 제품 주문,청과물
딸기랑 귤 합쳐서 얼마인가요?,가격 문의,청과물
현금영수증 해주세요,현금영수증 발급 요청,청과물
남여 공용으로 사용할 수 있는 에센스 있나요?,성별 제품 문의,화장품
피부가 건성인데 저한테 잘 맞을까요?,피부 타입별 제품,화장품
아토피가 있는데 문제 없을까요?,피부 타입별 제품,화장품
건성 핸드크림도 추천해주시겠어요?,제품추천 요청,화장품
알로에 핸드크림도 아토피에 문제없겠죠?,피부 타입별 제품,화장품
이 제품은 테스터용이 없나요?,테스터 제품,화장품
파운데이션을 사려고 하는데요.,종류별 화장품 주문 요청,화장품
이 립스틱은 발색이 좀 연한거 같은데 강한건 없나요?,컬러 문의,화장품
이 미스트는 행사 상품이 아닌가요?,할인행사여부,화장품
포인트 적립 가능한가요?,적립요청,화장품
스킨이 떨어져서 그런데 요새 인기상품이 뭔가요?,인기제품 문의,화장품
그렇게 잘나가요? 이게 ?,인기제품 문의,화장품
한번 사용해 볼 수 있을가요?,테스터 제품,화장품
냄새는 맡아 볼 수있나요?,시향 문의,화장품
향이 좋으니 5개 구매할게요.,종류별 화장품 주문 요청,화장품
이나영이 광고하는 립스틱 있어요?,광고모델시연제품,화장품
색깔은 몇 종류에요?,색상 문의,화장품
발라봐도 되나요?,테스터 제품,화장품
저한테 어떤 색이 더 어울릴까요?,적합 여부 문의,화장품
포인트 적립도 되나요?,포인트 적립 여부 문의,화장품
어떤 화장품이 잘 나가나요?,인기제품 문의,화장품
손이 건조한데 제품 하나 추천해주실 수 있나요? ,제품추천 요청,화장품
이 향수는 이름이 뭔가요?,제품 이름 문의,화장품
이벤트 진행중인 상품이 있나요?,할인행사여부,화장품
결제는 제로페이로 해도 되나요?,제로페이,화장품
여드름 부위에 바를 화장품 있나요,피부 타입별 제품,화장품
어떤 건가요?,피부 타입별 제품,화장품
효과가 정말 있나요?,효과별 제품 추천,화장품
그럼 이걸로 주세요,종류별 화장품 주문 요청,화장품
크림 좀 보여주시겠어요?,기능성 제품 문의,화장품
어떤게 제일 잘나가나요?,인기제품 문의,화장품
이거 테스트 해볼 수 있나요?,테스터 제품,화장품
촉촉하고 좋긴 한데... 얼마에요?,가격 문의,화장품
멤버쉽 할인 되나요?,할인 여부 문의,화장품
저기 물어보고 싶은게 있는데 가능한가요?,제품 문의,화장품
이거 기능성 화장품 맞죠?,기능성 제품 문의,화장품
구체적으로 어떤 기능이 있나요?,제품 기능 문의,화장품
네 바로 결제하겠습니다,결제요청,화장품
피부 타입 검사 가능한가요?,피부 타입 검사 문의,화장품
화장했는데 상관없나요?,피부 타입 검사 문의,화장품
제 피부 타입은 어떤가요?,피부 타입 검사 문의,화장품
복합성에 맞는 제품 추천해주실 수 있을까요?,제품추천 요청,화장품
그럼 발효콩 로션 하나 주세요.,종류별 화장품 주문 요청,화장품
천연성분인가요?,성분,화장품
이거 다른 색상은 없나요?,색상 문의,화장품
품절 상품은 언제 들어오나요?,입고 문의,화장품
향수 시향해주시겠어요?,시향 문의,화장품
멤버쉽 가입하면 혜택 있나요?,회원혜택 문의,화장품
민감피부용 로션 어디있나요?,피부 타입별 제품,화장품
여드름이 많이났는데 이거 발라도 괜찮을까요?,피부 타입별 제품,화장품
효과 좋나요?,효과 문의,화장품
그러면 그걸로 주세요.,종류별 화장품 주문 요청,화장품
어떤 로션이 가장 많이 나가나요?,인기제품 문의,화장품
아토피가 있어도 사용 가능한가요?,피부 타입별 제품,화장품
스킨도 같은 제품으로 있나요?,세트상품 종류,화장품
그럼 그렇게 세트 구성으로 포장 가능한가요?,세트 구성 포장 가능 문의,화장품
미미 헤어 에센스도 하나 추가 해 주세요.,제품종류 추가 요청,화장품
제가 피부가 지성건성인데 로션을 뭘 써야 할까요?,피부 타입별 제품,화장품
가격은 얼마인가요?,가격 문의,화장품
이것보다 용량이 좀 더 큰건 없나요?,용량 문의,화장품
그럼 이걸로 주세요,결제요청,화장품
스킨 제품은 어디 있나요?,종류별 화장품 주문 요청,화장품
로션이랑 세트로 된 제품도 있나요?,세트상품 종류,화장품
건성이 쓰기에 적합한가요?,피부 타입별 제품,화장품
언제 바르는 게 적당한가요?,사용방법 문의,화장품
언제까지 사용 가능한가요?,유통기한,화장품
순한 수분크림 있나요?,순한 제품,화장품
피부가 예민해서 그런데 가장 순한 제품은 어떤건가요.,순한 제품,화장품
발라봐도 되나요?,테스터 제품,화장품
이걸로 하나 주세요.,제품 주문,화장품
현금으로 하겠습니다.,현금결제,화장품
립스틱 종류좀 볼 수 있을까요? ,종류별 화장품 주문 요청,화장품
립스틱 잘 안지워지지 않는 것 사고싶어요 ,제품추천 요청,화장품
발라봐도 되죠? ,테스터 제품,화장품
회원 카드 만들 수 있죠?,회원 가입 요청,화장품
자주 이용할께요 ,,화장품
지금 영업하나요?,영업 시간 문의,화장품
수분크림 사려구요,종류별 화장품 주문 요청,화장품
테스터제품 발라볼게요,테스터 제품,화장품
괜찮네요 이걸로 살게요,제품 주문,화장품
오메기떡 있나요?,종류별 떡 주문,떡집
언제 만든 건가요?,제조일 문의,떡집
배달이 가능한가요?,배달배송 문의,떡집
보관은 어떻게 해야 하나요?,떡 보관 문의,떡집
아이스박스에 담아서 배달해 주세요.,박스포장 요청,떡집
저기 혹시 예약 되나요?,예약주문 여부,떡집
돌잔치 준비때문에 떡을 돌리려고 하거든요,돌떡,떡집
네 한 300개 정도 백설기가 필요해요,돌떡,떡집
4월 25일 오전에 받을 수 있도록 가능할까요?,예약주문 요청,떡집
300개 해서 얼마인가요?,가격 문의,떡집
오늘 빨간날인데 장사하시나요?,공휴일 영업 문의,떡집
오메기떡 있나요?,종류별 떡 주문,떡집
그럼 그거 다 주세요.,종류별 떡 주문,떡집
오메기떡 다사는데 서비스좀 주실수 있나요.,서비스 요청,떡집
사장님 다음에 또올게요!,,떡집
한 말에 얼마인가요?,가격 문의,떡집
떡 한 말에 몇 키로 인가요?,떡 무게 문의,떡집
배달 가능한가요?,배달배송 문의,떡집
아침 일찍 주문한거 찾고싶은데 가능한가요?,주문 떡 찾는 시간 문의,떡집
혹시 무지개떡도 있나요?,종류별 떡 주문,떡집
다음주에 예약 가능한가요?,예약주문 여부,떡집
떡케이크도 판매를 하나요?,떡케이크 판매 문의,떡집
인절미를 한 3박스 사고 싶은데 얼마나 걸릴까요,예약제품 수령시간,떡집
명함 혹시 하나 받을 수 있을까요?,연락처 요청,떡집
아침에 8시까지 배달 가능한가요?,배달배송 문의,떡집
오늘 문 열었네요?,휴무일 문의,떡집
오메기떡 맛있나요?,맛 문의,떡집
다른 맛있는 떡도 있나요?,인기상품 문의,떡집
그러면 오메기떡이랑 백설기 주세요.,종류별 떡 주문,떡집
이 인절미 얼마인가요?,가격 문의,떡집
가래떡은 얼마인가요?,가격 문의,떡집
"인절미 두 개, 가래떡 1개 주세요",종류별 떡 주문,떡집
가래떡 하나 더 추가해주세요.,종류별 떡 주문,떡집
혹시 매장 휴일이 언제인가요?,휴무일 문의,떡집
금방 나온 가래떡 있나요?,신선한 떡 요청,떡집
기다렸다 구매해도 될까요?,대기 구매 문의,떡집
시루떡도 판매하나요?,종류별 떡 주문,떡집
가래떡이랑 시루떡 같이 구매할게요.,종류별 떡 주문,떡집
삼성페이 가능한가요?,카카오페이삼성페이,떡집
가래떡 50줄을 주문하고 싶은데요.,종류별 떡 주문,떡집
이번주 금요일까지 가능한가요?,예약제품 수령시간,떡집
배달도 해주시나요?,배달배송 문의,떡집
"혹시, 현미로도 가능한가요?",재료 문의,떡집
"그럼 쌀로 25줄, 현미로 25줄 부탁드릴게요.",종류별 떡 주문,떡집
설 떡국떡 주문 가능한가요?,떡국 떡떡볶이 떡,떡집
3팩사면 만원인가요?,가격 문의,떡집
쌀 가져오면 떡 뽑아주시나요?,판매방식 문의,떡집
송편에 꿀 들어있나요?,재료 문의,떡집
몇 시까지 영업하나요?,문닫는 시간문의,떡집
지금 떡 주문 가능한가요?,영업시간 문의,떡집
떡볶이 떡 가격은 어떻게 되나요?,가격 문의,떡집
쌀떡인가요?,재료 문의,떡집
언제 까지 찾으러 오면 되나요?,예약제품 수령시간,떡집
결제는 선결제인가요?,결제 시기,떡집
양념게장 얼마에요?,가격 문의,반찬가게
간장게장은 없나요?,반찬 문의,반찬가게
양념게장 말고 밥에 어울리는 반찬 추천해 주실수 있나요?,반찬 추천 요청,반찬가게
깻잎 장아찌랑 파김치주세요,(일반)제품 주문,반찬가게
지난번에 하신 마늘쫑 맛있던데 오늘은 없네요?,반찬 문의,반찬가게
오늘은 좀 새로운걸 사가려고 하는데 추천해 주실 수 있으세요?,반찬 추천 요청,반찬가게
이거랑 같이 먹으면 좋을 반찬도 하나 더 추천해주세요,반찬 추천 요청,반찬가게
명이 나물은 뭐에요?,반찬 문의,반찬가게
진짜 마늘맛이 나요?,맛 문의,반찬가게
연근조림 있나요?,반찬 문의,반찬가게
아삭하죠?,식감 문의,반찬가게
요즘은 주로 뭘 먹나요?,제철반찬 문의,반찬가게
여기도 포인트 적립되나요?,적립금 사용금액문의,반찬가게
현금영수증 해주세요 ,현금영수증 발급문의요청,반찬가게
반찬가게가 새로 생겼네,,반찬가게
요일별로 반찬이 다르군요?,반찬 문의,반찬가게
포장해주세요,포장 요청,반찬가게
반찬은 보통 얼마정도 하나요?,가격 문의,반찬가게
같이 사면 할인되는 품목 있나요?,할인품목 문의,반찬가게
멸치반찬 2개랑 소세시 볶음2개 주세요.,(일반)제품 주문,반찬가게
"네, 그것만 계산해주세요.",결제 요청,반찬가게
현금으로 할게요.,현금결제,반찬가게
이건 뭘로 튀긴 건가요?,반찬재료 문의,반찬가게
맛있어 보이는데 좀 먹어 봐도 될까요?,시식문의,반찬가게
괜찮은데 한 봉지만 담아 주시겠어요?,(일반)제품 주문,반찬가게
조금 비싼데 좀 깎아 주세요,가격할인 요청,반찬가게
여기 만원이요,현금결제,반찬가게
오늘 진미채 있나요?,반찬 문의,반찬가게
진미채 한팩이랑 콩조림 한팩 주세요 ,(일반)제품 주문,반찬가게
왜 이렇게 비싸요?,가격 문의,반찬가게
콩이 요즘 비싼가 보네요,가격 변동(오름내림) 문의,반찬가게
여기 카드로 결제할게요,카드결제,반찬가게
무김치를 사고 싶은데 지금 없는거 같네요?,반찬 문의,반찬가게
집으로 배달을 받고 싶은데 가능한가요?,배달 문의,반찬가게
월별로 결제해서 가능한가요?,기간별 결제 문의,반찬가게
혹시 진공포장으로 해주실 수 있나요?,포장방법 문의,반찬가게
반찬 한번 맛 볼 수 있나요? ,시식문의,반찬가게
어떤 반찬이 가장 많이 나가나요?,베스트 반찬 문의,반찬가게
국산 콩인가요?,원산지 문의,반찬가게
고추는 들어있는 건가요?,반찬재료 문의,반찬가게
김치는 어떤 김치가 있나요?,제품군의 다른 품목 문의,반찬가게
국내산 김치와 콩반찬 3인분씩 주문할게요.,(일반)제품 주문,반찬가게
부침도 파시나요?,반찬 문의,반찬가게
동그랑땡이랑 명태전이요,(일반)제품 주문,반찬가게
3인분씩 주시면 될 거 같아요,0인분 주문,반찬가게
그럼 명태전은 2인분만 주세요,0인분 주문,반찬가게
총 얼마죠?,가격 문의,반찬가게
"안녕하세요, 혹시 고사리 볶음 있나요 ?",반찬 문의,반찬가게
그러면 백김치국 있을가요?,반찬 문의,반찬가게
"네, 그거 하나 주세요.",(일반)제품 주문,반찬가게
동그랑땡도 있을가요?,(일반)제품 주문,반찬가게
그것도 2개 주세요.,(일반)제품 주문,반찬가게
여기 처음 와 보는데 보통 가격이 어떻게 되나요?,가격 문의,반찬가게
마늘쫑무침은 어디에 있나요?,코너문의,반찬가게
그럼 이거 큰 팩 하나 주세요,(일반)제품 주문,반찬가게
네 여기 5000원이요,결제 요청,반찬가게
어느 반찬이 맛있나요?,반찬 추천 요청,반찬가게
간장게장 맛 한번 볼 수 있을까요?,시식문의,반찬가게
이거 하나 포장해주세요,포장 요청,반찬가게
명란젓도 같이 주문할게요,(일반)제품 주문,반찬가게
이 어리굴젓 맛 봐도 되나요?,시식문의,반찬가게
이 젓갈은 뭔가요?,반찬 문의,반찬가게
가격은 어떻게 해요?,가격 문의,반찬가게
오백그램씩 따로 포장해주실 수 있어요?,나눔 포장 요청,반찬가게
냉장보관하면 될까요?,품목별 보관방법문의,반찬가게
2 플러스 1 행사 하나요?,가격할인 문의,반찬가게
