question,answer,intent
그럼 가격은요?,가격은 22900원입니다,가격문의
프라이드는 얼마에요?,프라이드하고 다른 거 선택하면 그것도 19000원입니다,가격문의
가격이 얼마에요 몇 인분이고?,19000원요 뭐 고등학생들은 세 네 명 먹더라고요,가격문의
예 그럼 가격대가 어떻게  되나요?,21000원부터 한 마리 한 마리 반은 29000원입니다.,가격문의
가격은 얼마인가요?,뼈는 22000원이고요 순살은 24000원이에요,가격문의
그 저 여기 양념 된 거 하고 안된 거 하고 프라이드는 얼마에요?,"프라이드는 18000원, 양념은 19500원이요",가격문의
퀵 빈랑 그게 없이 그 가격이에요? 19000원이었던가 17000원이었던가,"순살은 20000원, 뼈 있는 거는 18000원입니다",가격문의
매운 거는 고추장 빨간색 들어간 거. 그거는 더 비싸요?,네 양념이 비싸요,가격문의
날개하고 봉 그건 얼마지요?,네 간장 같으면 19000원이고요 매운 거는 20000원입니다,가격문의
콜라는요?,1.5리터짜리는 2500원 작은 거는 1500원이에요,가격문의
포장 시 무를 추가하면 얼마인가요?,500원씩 추가하시면 됩니다.,가격문의
프라이드 세 마리하고 양념 두 마리 하면 얼마죠?,프라이드는 한 마리에 12000원이고요 양념은 14000원입니다.,가격문의
가격대는 얼마부터 얼마까지 있어요?,일반 짬뽕은 6000원이고 얼큰이 하고 삼선짬뽕은 8000원씩이고 해물짬뽕은 12000원 생굴 짬뽕은 11000원이에요,가격문의
그러면 4인 가족이 먹을 수 있는 걸로 짬뽕이랑 섞여서 가격대는 얼마 정도 지불해야 돼요?,짬뽕 두 개 나가고 미니 탕수육 세트는 18000원이에요,가격문의
그러면 짬뽕은 한 그릇에 얼마나 해요?,짬뽕은 5500원요,가격문의
그거는 가격이 얼마에요?,35000원씩요,가격문의
세트 메뉴로 된 거는 가격이 얼마에요?,짜장면 두 개 있는 세트 메뉴는 18000원이에요,가격문의
해물 짬뽕 세트는 얼마에요?,세트로 하시면 24000원요,가격문의
예 얼마 정도 해요?,해물짬뽕 보통 7500원짜리가 있어요,가격문의
중자는 얼마에요?,중자는 2만 2천 원요,가격문의
언제부터 올랐어요?,설날부터요,가격변경문의
동구는 그러면 어디로 걸어야 돼요?,1588-3082입니다,거주지역매장문의연락처
네 카드로 결제할게요,네 감사합니다,결제방식선택
그런데 제가 현금이 천 원밖에 없는데 어쩌죠?,그러면 천 원은 현금으로 주시고 이천 원은  배달원에게 바로 계좌이체해주시면 돼요,결제방식선택
카드로 결제하겠습니다,감사합니다,결제방식선택
카드 결제 가능하죠?,네 가능합니다,결제방식선택
추가요금까지 함께해서 카드 결제할게요,네 쿠폰 사용은 현금결제 시에 만 가능한 점 양해 바랍니다,결제방식선택
네 그럼 그렇게 해서 갖다 주시고 결제는 카드로 할게요,네 단말기 챙겨서 가겠습니다,결제방식선택
만나서 카드 결제할게요,네 16500원입니다,결제방식선택
네 배달 오시면 카드로 결제할게요,알겠습니다,결제방식선택
현금결제할게요,16000원입니다,결제방식선택
카드로 결제 가능하죠?,네 가능합니다,결제방식선택
허니치킨 콤보는 카드로 결제할게요,네 총 24000원입니다,결제방식선택
카드 결제로 할게요,네 감사합니다,결제방식선택
네 카드 결제하겠습니다,네 할인받으셔서 2만 7천 원입니다,결제방식선택
5만 원권인데 괜찮은가요?,네 상관없습니다,결제방식선택
결제는 카드로 할 거예요,네 한 30분 정도 기다리셔야 돼요,결제방식선택
카드 결제로 가능하죠?,네 카드 결제 가능합니다,결제방식선택
카드 결제할게요,네,결제방식선택
카드 결제 가능할까요?,네 가능하세요,결제방식선택
카드 결제할게요,알겠습니다,결제방식선택
카드로 계산해도 될까요?,네 그럼요,결제방식선택
현금으로 결제해야 하나요?,네,결제방식선택
예 카드로 할게요,30분 안에 가져다드릴게요,결제방식선택
카드 결제 가능하죠?,가능합니다,결제방식선택
카드 결제로 할게요,네 알겠습니다,결제방식선택
카드 결제되죠?,네 가능합니다,결제방식선택
카드로 계산하려고 하는데 가능한가요?,네 카드로 계산 가능합니다,결제방식선택
카드로 결제할게요,알겠습니다,결제방식선택
그러면 계좌이체도 될까요?,네 가능합니다,결제방식선택
카드 결제되나요?,네,결제방식선택
카드 결제하겠습니다,네 카드 기계 갖고 가겠습니다,결제방식선택
결제를 카드로 해도 될까요?,네 그럼요,결제방식선택
감사합니다. 카드 결제할게요.,카드 결제 확인했습니다.,결제방식선택
현금으로 결제할게요,네 알겠습니다,결제방식선택
카드는 가능하죠?,네 가능합니다,결제방식선택
애들 학교에 어떤 간식 잘 나가 예?,아무래도 애들이다 보니까 달콤한 맛 간장치킨 맛 순살로 선호하는 편이에요,결제방식선택
카드도 결제되지 예?,네 됩니다,결제방식선택
지금 카드 되죠?,네 됩니다,결제방식선택
카드는 되죠?,네 카드 결제 가능하세요,결제방식선택
카드도 되죠?,네 카드 가능해요,결제방식선택
결제는 그러면 카드로 하나요 아니면 현금?,카드나 현금이나 원하는 대로 하시면 됩니다,결제방식선택
현금으로 하지 싶은데 그럼 자동이체하면 되겠다,네 그래도 됩니다.,결제방식선택
카드로 하는 거 하고 현금으로 하는 거 하고 똑같아요?,금액은 똑같아요,결제방식선택
그러면 계산할 때 현금하고 카드만 돼요?,현금밖에 안돼요,결제방식선택
계좌 불러주세요,우리은행 6543217891입니다,계좌번호요청
네 짬뽕 국물도 서비스 부탁드려요,네 넣어드릴게요,국물따로요청
짬뽕 국물도 같이 주실 수 있어요?,네 가능합니다,국물따로요청
국물 먹고 싶어서 그러는데 짬뽕 국물도 같이 가져다주실 수 있으실까요?,네 같이 보내드릴게요,국물따로요청
짬뽕 국물도 같이 주시나요?,네,국물따로요청
짬뽕 국물을 따로 주실 수 있나요?,네. 따로 가능합니다.,국물따로요청
혹시 짜장면에 국물은 안 오죠?,국물은 안 가지요,국물따로요청
치킨 무도 많이 가져다주세요,네 알겠습니다,기본반찬요구
단무지 좀 많이 주세요,걱정하지 마십쇼,기본반찬요구
피클도 많이 주세요,네 알겠습니다,기본반찬요구
치킨무 두 개 부탁드려요,네 알겠습니다,기본반찬요구
양파랑 단무지 많이 넣어주세요,네 알겠습니다,기본반찬요구
무 하나 추가 가능하죠?,네 가능합니다,기본반찬요구
단무지 좀 많이 갖다 주세요,네 알겠습니다,기본반찬요구
치킨무 넉넉히 보내주시고요,알겠습니다,기본반찬요구
피클 추가해 주세요,음료는 콜라 작은 거 나갑니다,기본반찬요구
여기 단무지 좀 더 가져다주세요,네 알겠습니다,기본반찬요구
네. 무 좀 많이 주세요.,"네, 감사합니다.",기본반찬요구
치킨무 많이 가져다주세요,네 감사합니다,기본반찬요구
1개만 주세요,네 총 3만 원입니다,기본반찬요구
단무지 많이 주시고요,아쉽지 않게 넣어드릴게요,기본반찬요구
단무지 좀 많이 가져다주실 수 있을까요?,네 그럼요,기본반찬요구
피클은 서비스로 주시나요?,네 2개 드려요,기본반찬요구
단무지 더 많이 주시면 안 돼요?,큰 거 한 개씩 드릴게요,기본반찬요구
단품하고 피자 두 판 시키는 거 하고 차이가 있나요?,피자나 토핑 양에 대해서는 차이가 없고요. 가격을 조금 할인해드립니다,단품과세트메뉴차이문의
스모크 통다리는 오븐에 구운 건가요?,네 고객님 매운 양념을 발라 오븐에 구운 메뉴입니다,만드는방법문의
육개장은 직접 안 끓였죠?,네,만드는방법문의
숯불로 굽습니까?,네 숯불로 합니다,만드는방법문의
아 그러면 면은 수타에요?,아니요 요즘 수타는 없습니다,만드는방법문의
허니콤 보는 너무 달지 않아요?,안 달아요 인기는 제일 좋아요,맛에대한질문
그게 어떤 맛이에요?,맛은 표현하기 참 어려워요,맛에대한질문
맵죠?,네,맛에대한질문
중화 비빔밥은 좀 덜 짜게 해주시면 안 돼요?,네,맛에대한질문
얼큰 짬뽕은 많이 매워요?,네,맛에대한질문
매운 건 아니죠?,네 그렇게 매운 건 아닙니다. 김치가 볶음김치입니다,맛에대한질문
슈프림요 근데 이게 느끼하지는 않나요?,약간 느끼한 맛도 있어요,맛에대한질문
맵지 않죠?,네 맵지 않아요,맛에대한질문
거기 매운 거밖에 없나요?,순한 것도 있어요,맛에대한질문
아 초등학생들이 먹을 거라서 좀 순하게 해야 돼서,네 그러면 숯불에 순한 맛 하시면 됩니다,맛에대한질문
그러면 맵거나 짜거나 이렇지는 않나요?,불고기요 맵지는 않고 짠 거 못 드시면 조금 짤 수 있어요,맛에대한질문
맵기는 어느 정도 매운 정도나요?,순살 같은 경우에는 주메뉴가 순살 어니언 파닭이라고 나가는 게 있고요,맛에대한질문
얼큰이 짬뽕은 어떤 게 맵기가?,똑같아요 삼선짬뽕에서 조금 얼큰한 게 얼큰이 짬뽕이거든요,맛에대한질문
덜 짜게 해도 해주실 수 있어요?,소스를 덜 발라드릴 수 있어요,맛정도조절요청
근데 좀 안 짜게 할 수 있을까요?,네 소스를 조금 더 적게 뿌려드릴게요,맛정도조절요청
혹시 짜지 않게 간 조절이 되나요?,햄이나 치즈 자체 염분은 조절이 불가해서 힘들 것 같습니다,맛정도조절요청
근데 혹시 조금 덜 짜게 해주실 수 있어요?,네 가능해요 덜 짜게 만들어 드릴게요,맛정도조절요청
아 그래요 그러면 맵기 짜기 이런 거 조절해달라고 말씀드리면 조절도 가능한가요?,네,맛정도조절요청
그래요 그 맵기 정도가 너무 짜거나 매우면 조절도 가능한가요 주문하면?,네 저희는 순한 맛은 안 맵고요 보통맛은 좀 매콤하고 매콤한 맛은 많이 맵고요,맛정도조절요청
네 근데 혹시 맛을 달지 않게도 되나요?,본사에서 내려오니까 안됩니다.,맛정도조절요청
그리고 전화번호가 뭔가요? 제가 자꾸 전화기가 바뀌는 바람에,네 337-7103요,매장연락처문의
여기 위치는 어떻게 되세요?,영조 아파트 2단지 길 건너편에 있어요,매장위치문의
매장 위치가 어떻게 돼요?,반야월 이마트 맞은편 롯데아파트 상가 2층이에요,매장위치문의
그러면 위치 좀 가르쳐 주시면 내일이나 사러 갈게요,구열대 삼거리 건너편 만촌지구대 옆에 있습니다,매장위치문의
아 그럼 거기 월성 보성 이 단지 맞죠?,네,매장위치문의
거기 위치가 어디라 예?,서구청 맞은편이에요,매장위치문의
그럼 위치가 어디쯤 되나요?,평리 이동에 있는 평리 롯데캐슬에 있습니다,매장위치문의
아 상가에 있어요?,그 골목길 올라오시면 있어요,매장위치문의
아 그럼 위치가 어떻게 돼요?,평리 4동 청구아파트 바로 앞에 있거든요,매장위치문의
네 그러면 그 위치가 어디예요?,대구 일 중학교 맞은편에 보시면 신협 건물 있는데요 오피스텔 건물이에요 대성 신협이라고 있는데 그 건물 2층에 있어요,매장위치문의
거기 성화로 맞죠?,네 맞습니다,매장확인
거기 치킨집 맞나요?,네 맞습니다 주문 도와드릴게요,매장확인
거기 교촌치킨 맞나요?,네 교촌치킨입니다,매장확인
거기 교촌치킨 맞죠?,네 맞으니 말씀해주세요,매장확인
거기 치킨집 맞나요?,네 맞습니다,매장확인
거기 피자집이죠?,예 전화받았습니다,매장확인
거기 국빈관이죠?,네 국빈관입니다,매장확인
거기 치킨과 피자 모두 파는 곳이 맞나요?,네 세트 메뉴로 있습니다,매장확인
거기 북경반점인가요?,예 말씀 하세요,매장확인
피자집인가요?,네 맞습니다,매장확인
중국성이죠?,네,매장확인
갈비 통닭집인가요?,네 갈비 통닭집입니다,매장확인
치킨 매장인가요?,네 공공 치킨입니다,매장확인
거기 중국집  쓰촨 성 맞나요?,네 쓰촨 성 맞습니다,매장확인
요리 반점 맞나요?,네 맞습니다,매장확인
거기 피자집이죠,네 피자집입니다,매장확인
거기 크라우드 치킨 맞죠?,네 맞습니다,매장확인
거기 홍콩반점인가요,네 홍콩반점입니다,매장확인
거기 킹왕짱 치킨 노형점 맞나요?,네 맞습니다.,매장확인
거기 네네치킨이죠?,네 맞습니다,매장확인
BBQ 상암점 맞죠?,네 맞습니다,매장확인
거기 중국집이죠?,네 영일 반점입니다,매장확인
거기 성화로 맞죠?,네 맞습니다,매장확인
거기 중화 방이죠?,네 맞습니다,매장확인
중국집인가요?,네 맞습니다,매장확인
OO 반점 맞나요?,네 맞습니다,매장확인
피자집이죠?,네 피자 전문점입니다,매장확인
네네치킨이죠?,네 맞습니다,매장확인
안 볼로 피자 맞죠?,네네 맞습니다,매장확인
중화요리죠?,네,매장확인
거기 중국집이죠?,네,매장확인
예 비비큐 월성점이죠?,네,매장확인
여기가 외동점입니까 내동점입니까?,내외점요,매장확인
거기 하양점이지요?,네. 맞습니다.,매장확인
중국집 아닌가요 반점?,예예 맞아요,매장확인
수고하십니다 반점이죠?,네,매장확인
피자에 치즈 크러스트 추가 시 얼마  추가되나요?,1000원 추가됩니다,메뉴교환시추가가격문의
얼마 추가되나요?,천원 추가됩니다,메뉴교환시추가가격문의
추가 비용은 얼마인가요,1000원입니다,메뉴교환시추가가격문의
감자튀김 사이즈업은 얼마인가요,500원 추가하시면 가능합니다,메뉴교환시추가가격문의
콜라 사이즈업하면 가격이 얼마나 추가되나요?,콜라 사이즈업은 2000원에 가능합니다.,메뉴교환시추가가격문의
그럼 곱빼기는 가격이 얼마가 추가되나요?,1000원 추가됩니다,메뉴교환시추가가격문의
닭 다리로만 구성된 메뉴가 있나요?,프라이드 다리 스모크 통다리 양념 다리 세 가지가 있습니다,메뉴문의
혹시 나가사키 짬뽕 판매하나요?,나가사키 짬뽕은 없고 홍합 짬뽕은 있습니다,메뉴문의
순살도 양념치킨 있나요?,네 그럼요,메뉴문의
혹시 여기 하프 피자 가능한가요?,예 가능합니다,메뉴문의
음료는 몇 가지 있나요,3가지 있습니다,메뉴문의
음료수는 어떤 게 있나요?,탄산음료 주스 커피 가능하십니다,메뉴문의
메뉴가 어떻게 되나요?,프라이드 양념 반반 세 가지 있습니다,메뉴문의
프라이드치킨 순살로도 가능한가요?,가능합니다만 1000원 추가되어 19000원입니다,메뉴문의
프라이드치킨 순살도 있나요?,아니요 프라이드치킨은 순살이 없습니다,메뉴문의
양념치킨 시키려고 하는데 매운맛도 있나요?,맛 조절 가능합니다.,메뉴문의
스파게티도 있나요?,치즈 스파게티와 미트볼 스파게티 있어요,메뉴문의
여기 뭐 콤비네이션 있죠?,콤비네이션하고 비슷한 거는 페퍼디언스가 있습니다,메뉴문의
콤비네이션 피자 뭐 있어요?,콤비네이션 피자로 쫄깃쫄깃한 일반 원형 피자하고 바삭바삭한 슈프림 피자 있어요 네모난 게 저희 매장에서만 나오는 거예요,메뉴문의
13000원짜리는 어떤 건데 예?,13000원짜리는 킹소세지피자라고 소시지들이 많이 들어가요,메뉴문의
해물 짬뽕은?,없어요,메뉴문의
짬뽕은 어떤 종류 있는데요?,짬뽕은 일반 짬뽕하고 차돌박이 짬뽕 두 가지 있습니다,메뉴문의
탕수육은?,탕수육은 대 중 소 다 있습니다,메뉴문의
요리도 다 돼요?,요리는 깐풍 욱하고 깐풍 새우 칠리새우 이거 밖에 없습니다,메뉴문의
혹시 요리도 돼요?,요리 종류도 다 됩니다,메뉴문의
양장피 같은 요리도 있어요?,네,메뉴문의
요리 종류도 있어요?,일반 메뉴 밖에 없어요,메뉴문의
근데 초등학생 애들 잘 먹나요?,네 먹을 수 있습니다,메뉴문의
이것도 단품도 있나요?,네 라지로는 만 천구백 원입니다,메뉴문의
치킨도 있어요?,윙이랑 봉이라고 해서 사이드로 나가는 거고 메인 메뉴로는 없습니다,메뉴문의
이게 콤비네이션인가요?,네 기본 콤비네이션이고요 이탈리안 치즈입니다,메뉴문의
두 개 하면은?,"클래식 피자 두 판 세트, 알파 세트, 레귤러 피자 두 판으로 나오는 세트입니다",메뉴문의
그 슈프림 치킨 있죠?,네 있어요,메뉴문의
뭐 뭐 있는데 예?,순한 맛은 간장 있고 프라이드 있어요,메뉴문의
네 종류가 어떤 거 있나요?,치즈 크러스트 리치골드 신 팬 바이트 페이스트리 이렇게 있습니다,메뉴문의
지금 종류가 어떤 게 있나요?,종류는 기초적인 거 다 있어요 콤비네이션 불고기 포테이토 고구마 고구마무스,메뉴문의
거기 벌집 피자가 있던데 어떤 거예요?,고구마 무스가 벌집 모양으로 올라가는 거예요,메뉴문의
어떤 피자가 있나요?,제일 많이들 찾으시는 거는 불고기나 고구마나 콤비네이션 베이컨 이렇게 네 가지입니다,메뉴문의
블랙 앵거스가 뭐예요?,고기랑 랍스터 볼이 들어가 있어요,메뉴문의
양념이 어떤 거 어떤 거 있어요?,양념은 그 프라이드 양념간장 세 가지 있습니다,메뉴문의
그 메뉴가 어떤 거 어떤 게 있어요?,튀김 종류하고 찜닭하고 있습니다,메뉴문의
그럼 단일 품목 딱 한 개로 배달하는 거예요?,뼈 있는 거랑 순살로만 나눠져 있고요,메뉴문의
종류는 어떤 게 있나요 치킨이?,프라이드 양념간장 그런 거 있어요,메뉴문의
그러면 혹시 여기 찜닭은 안 하죠?,저희는 찜닭 메뉴는 없습니다,메뉴문의
그러면 그 치킨 종류로는 어떤 게 있어요?,치킨 종류요 어 저희가 종류가 좀 많아가지고요,메뉴문의
어떤 메뉴들이 있나요?,간장하고 양념이 제일 많이 나갑니다,메뉴문의
그러면 지금 찜닭 종류로 있나요?,안동찜닭 야채 찜닭 묵은지 찜닭 순살 이렇게 있습니다,메뉴문의
한 마리 순살치킨인가요?,네 순살도 있고 순살은 닭 다리 살만 들어가 있고요 뼈는 한 마리예요,메뉴문의
그러면 여기가 찜닭 종류가 있나요? 종류로는 어떤 게 있어요?,저희는 간장 양념 베이스고요 뼈랑 순살 있어요,메뉴문의
아 별다른 일 없으면 아 그 종류는 뭐 뭐 있죠?,앱이나 인터넷에 굽네치킨 치시면 메뉴 다 나옵니다,메뉴문의
그러면 양념은 한 가지네요? 저번에 자주 시켜 먹었었는데,네 양념은 맞아요 한 가지에요 순살은 좀 보드라운 다리 살이고요,메뉴문의
지고 바가 종류가 몇 가지죠?,네 뼈 있는 거 있고 순살 있고 종류는 두 가지와 소금구이 나가고 그렇습니다,메뉴문의
그러면 날개하고 봉하고. 또 뭐 있나요?,날개하고 봉하고 닭 다리까지 들어간 게 있습니다,메뉴문의
부위별로 하는 거는 없어요?,네 프라이드는 안 합니다,메뉴문의
네 저녁에 손님 오면 시키려고 하는데요. 프라이드 종류는 몇 가지에요? 부위 가요. 전체 닭 한 마리만 하나요?,네 프라이드는 한 마리만 합니다,메뉴문의
그러면 4인 가족이 시켜 먹으려고 하는데 짬뽕 어떻게 시키나요 세트 메뉴도 있나요?,네 명이서 드실 거면 세트보다 탕수육 중자를 시키는 게 낫죠,메뉴문의
짬뽕 종류는 어떤 게 있어요?,일반 짬뽕 얼큰이 짬뽕 부을 짬뽕 해물짬뽕 전복 삼선짬뽕 있어요,메뉴문의
메뉴로 어떤 게 있어요?,중국집에 있는 메뉴는 다 돼요,메뉴문의
다른 데보다 여기 사이즈가 좀 더 커요?,기본적으로 레귤러는 두 분 아니면 세 분까지는 드실 수 있고요 라지는 3~4인용입니다,메뉴사이즈문의
사이즈는 몇 가지로 나와요?,레귤러와 라지 두 가지 있습니다,메뉴사이즈문의
사이즈가 몇 가지 있어요?,지금 사이즈는 1~2인용인 커플 사이즈하고 3~4인용인 패밀리 사이즈 있어요,메뉴사이즈문의
메뉴 나와있는 스티커 하나만 주세요,여기 전단지요,메뉴있는스티커요청
그 메뉴 순살도 있나요?,네 그런데 순살은 1000원 추가됩니다,메뉴정보문의
요즘 광고하는 치킨이 뭐죠?,네 갈비맛 치킨입니다,메뉴정보문의
치즈 크러스트가 가능한 피자는 뭐가 있나요?,페퍼로니 피자와 하와이안 피자가 있습니다,메뉴정보문의
사이드 메뉴엔 뭐가 있나요?,치즈스틱과 핫윙이 있습니다,메뉴정보문의
이벤트 피자는 라지 사이즈인가요?,미디엄 사이즈로 제공됩니다,메뉴정보문의
매운 양념이 아이가 먹기에 매운가요?,네 조금 매울 거예요,메뉴정보문의
요새 TV에서 광고하는 메뉴 시키려고 하는데 해당 메뉴명이 뭐죠?,볼케이노 치킨입니다,메뉴정보문의
맵지는 않겠죠?,네 전혀 맵지 않아요,메뉴정보문의
고구마 피자는 도우 두께가 선택이 되는가요?,도우 두께는 한 종류입니다 사이즈도 라지 하나 있습니다,메뉴정보문의
도우도 얇고 두껍고 선택이 되는가요?,요청하시면 최대한 펴가지고 얇게 해드릴 수는 있어요,메뉴정보문의
사이즈는 뭐 뭐 있어요?,레귤러 라지 있습니다,메뉴정보문의
해물 불 짜장은 어떤 거예요?,해물 들어가는 간짜장식인데 매운 짜잔요,메뉴정보문의
깐풍 육운 안주에요? 식사에요?,안주에요,메뉴정보문의
양념이 깐풍기 양념이랑 비슷한가 봐요?,깐풍 양념으로 돼지고기를 한 번 튀기고 다시 깐풍 양념으로 한 번 더 볶아서 나갑니다,메뉴정보문의
국물 없는 짬뽕은 뭐예요?,야끼 가락국수 같은 겁니다,메뉴정보문의
날개하고 봉은 뭐예요?,사람으로 치면 어깨부터 팔꿈치까지 그것도 날개에요,메뉴정보문의
