sentence,intent,category
포장 시 무를 추가하면 얼마인가요?,가격문의,배달음식점
그렇구나 배달에는 그러면 무하고 콜라하고 같이 들어가고요?,서비스문의,배달음식점
그러니까 12000원 프라이드 값에 소스가 소금 나가고 또 포장하면 뭐 있어요?,서비스문의,배달음식점
다른 거는 추가로 더 사야 한다고요?,서비스문의,배달음식점
콜라는요?,가격문의,배달음식점
그러면 포장에는 따로네요,서비스문의,배달음식점
그렇구나 혹시 뭐 온누리 상품권도 결제돼요?,상품권결제,배달음식점
네 저녁에 손님 오면 시키려고 하는데요. 후라이드 종류는 몇 가지에요? 부위 가요. 전체 닭 한 마리만 하나요?,메뉴문의,배달음식점
부위별로 하는 거는 없어요?,메뉴문의,배달음식점
그러면 양념 된 거는 부위별로 있고요?,메뉴정보문의,배달음식점
네 아 날개만 된 게 윙인가요?,메뉴정보문의,배달음식점
날개하고 봉은 뭐예요?,메뉴정보문의,배달음식점
그러면 날개하고 봉하고. 또 뭐 있나요?,메뉴문의,배달음식점
날개하고 봉 그건 얼마지요?,가격문의,배달음식점
매운 거는 고추장 빨간색 들어간 거. 그거는 더 비싸요?,가격문의,배달음식점
소스는 근데 뭐 뭐 나오죠?,소스정보문의,배달음식점
네 저희는 머스터드는 안 먹어서 머스터드는 빼고요. 매운 소스는 핫 소스를 말씀하시는 건가요?,소스정보문의,배달음식점
그리고 음료수도 오지요?,서비스문의,배달음식점
허니 스파클링. 콜라 아니에요?,서비스문의,배달음식점
네 무도 오는 거 아닌가요,서비스문의,배달음식점
그러면 무를 빼면 가격 할인이 안 되나요?,메뉴할인문의,배달음식점
얼마 정도 걸리지요? 세 마리 하려면요,배달시간문의,배달음식점
네 한 여덟시쯤에 뭐 우선하려면 한 일곱시 반에 하면 되나요?,배달시간문의,배달음식점
그래요 혹시 온누리 상품권도 되나요?,상품권결제,배달음식점
지코바가 종류가 몇 가지죠?,메뉴문의,배달음식점
그러면 양념은 한 가지네요? 저번에 자주 시켜 먹었었는데,메뉴문의,배달음식점
여기 나올 때 소스는 뭐 뭐 왔었죠? 소스가 허니 뭐 있더라,서비스문의,배달음식점
네 근데 혹시 맛을 달지 않게도 되나요?,맛정도조절요청,배달음식점
소스 자체가 섞어져 있는 거군요. 그럼 혹시 상품권 온누리 상품권 돼요?,상품권결제,배달음식점
퀵비랑 그게 없이 그 가격이에요? 19000원이었던가 17000원이었던가,가격문의,배달음식점
언제부터 올랐어요?,가격변경문의,배달음식점
근데 여기요 적립은 따로 안돼요? 제가 몇 번 시켜 먹어봤는데,할인쿠폰적립카드문의,배달음식점
용기가 플라스틱이라서 뜨거운 거 넣으니까 좀 그렇던데 종이 호일 같은 거는 안 되나요?,배달용기변경요청,배달음식점
그리고 전화번호가 뭔가요? 제가 자꾸 전화기가 바뀌는 바람에,매장연락처문의,배달음식점
여기가 외동점입니까 내동점입니까?,매장확인,배달음식점
네 저희 토요일에 놀러 갈 때 하려고 하는데 아침에 몇 시에 문 열어요?,오픈시간문의,배달음식점
그러면 저녁에는 몇 시까지 하나요?,클로징시간문의,배달음식점
일요일도 하세요?,휴일문의,배달음식점
아 별다른 일 없으면 아 그 종류는 뭐 뭐 있죠?,메뉴문의,배달음식점
그러면 양념은 뭐 뭐 나오나요? 아 양념이 아니라  소스 그 나오는 사이드 있잖아요 허니 머스터드 콜라 무 이런 거,서비스문의,배달음식점
그러면 무를 빼고 콜라로 바꿔주실 수는 있어요?,서비스변경주문문의,배달음식점
젓가락은 혹시 대나무 젓가락 사용해 주시나요?,젓가락종류문의,배달음식점
그러면 배달하고 가지러 가면 가격 좀 더 할인되죠?,포장시할인문의,배달음식점
혹시 온누리 상품권 결제도 돼요? 온누리 상품권,상품권결제,배달음식점
세 마리 하려면 몇 분 걸려요?,배달시간문의,배달음식점
그 저 여기 양념 된 거 하고 안된 거 하고 프라이드는 얼마에요?,가격문의,배달음식점
여기 소스는 뭐 뭐 나옵니까? 프라이드에,서비스문의,배달음식점
머스터드는 안 주셔도 되거든요 그러면 가격이 할인되나요?,메뉴할인문의,배달음식점
음료수는 안 나와요 콜라?,서비스문의,배달음식점
무는 나가는 거 따로 없죠?,서비스문의,배달음식점
한 개당 한 마리씩요 저희들 그니까 무는 필요 안 하거든요 그래서 혹시 무를 빼면 다른 콜라로 바꿔주실 수 있나 해서요,서비스변경주문문의,배달음식점
양념소스만 더 챙겨주신다 혹시 온누리 상품권도 돼요? 김해 온누리상품권,상품권결제,배달음식점
엘지 멤버십 할인되나요?,엘지멤버십할인문의,배달음식점
혹시 젓가락은 대나무 젓가락 주시나요?,젓가락종류문의,배달음식점
그러면 저희들 가지러 가면,포장시할인문의,배달음식점
네 수고하십니다 뭐 여쭤볼 게 있는데요 배달이 몇 시부터 몇 시까지인가요?,영업시간문의,배달음식점
그러면 여기가 찜닭 종류가 있나요? 종류로는 어떤 게 있어요?,메뉴문의,배달음식점
그렇게만 있나요? 세트메뉴도 있나요 따로?,세트메뉴종류문의,배달음식점
저기 그러면 닭고기는 국내산 쓰나요?,원산지문의,배달음식점
그래요 그 맵기 정도가 너무 짜거나 매우면 조절도 가능한가요 주문하면?,맛정도조절요청,배달음식점
그러면 저 4인 가족이 먹으려고 하면 어떤 걸 시키면 되나요?,양에대한질문,배달음식점
한 마리 순살치킨인가요?,메뉴문의,배달음식점
가격은 얼마인가요?,가격문의,배달음식점
그래요 배달하는데 소요되는 시간 얼마나 걸려요?,배달시간문의,배달음식점
그러면 혹시나 저희가 직접 가서 먹을 수 있는 자리도 있나요?,홀식사문의,배달음식점
네 그러면 그 위치가 어디예요?,매장위치문의,배달음식점
죄송하지만 영업은 몇 시부터 몇 시까지 하세요?,영업시간문의,배달음식점
그러면 지금 찜닭 종류로 있나요?,메뉴문의,배달음식점
예 그럼 가격대가 어떻게  되나요?,가격문의,배달음식점
아 그러면 3인 가족이 먹으려고 하면 얼마나 시켜야 하나요?,양에대한질문,배달음식점
뭐 야채는 어떤 게 들어가요 사장님?,식재료문의,배달음식점
닭고기는 국내산 쓰나요?,식재료문의,배달음식점
주문하면 시간은 얼마나 걸려요?,배달시간문의,배달음식점
네 수고하십니다 저 죄송하지만 배달 몇 시부터 몇 시까지 하나요?,영업시간문의,배달음식점
어떤 메뉴들이 있나요?,메뉴문의,배달음식점
가격이 얼마에요 몇 인분이고?,가격문의,배달음식점
한 세트에 19000원요 그 종류 말고 다른 거 또 뭐 잘 나가는 거 뭐 있어요?,베스트메뉴문의추천요청,배달음식점
후라이드는 얼마에요?,가격문의,배달음식점
아 그래요 그러면 맵기 짜기 이런 거 조절해달라고 말씀드리면 조절도 가능한가요?,맛정도조절요청,배달음식점
배달비 따로 드려야 되나요?,배달비문의,배달음식점
배달 시키면 오는데 시간이 얼마쯤 걸려요?,배달시간문의,배달음식점
네 수고하십니다 죄송하지만 배달을 몇 시부터 몇 시까지 하시나요?,영업시간문의,배달음식점
그러면 그 치킨 종류로는 어떤 게 있어요?,메뉴문의,배달음식점
주로 잘 나가는 메뉴가 있나요?,베스트메뉴문의추천요청,배달음식점
추천해 주세요,베스트메뉴문의추천요청,배달음식점
그럼 몇 명이 먹을 수 있어요?,양에대한질문,배달음식점
그럼 가격은요?,가격문의,배달음식점
맵기는 어느 정도 매운 정도나요?,맛에대한질문,배달음식점
네 그것도 가격이 똑같아요?,가격문의,배달음식점
"그게 기준이 2, 3인분인가요?",양에대한질문,배달음식점
배달시키면 시간은 얼마쯤 걸려요?,배달시간문의,배달음식점
그러면 혹시 여기 찜닭은 안 하죠?,메뉴문의,배달음식점
결제는 그러면 카드로 하나요 아니면 현금?,결제방식선택,배달음식점
네 수고하십니다 저 죄송하지만 배달은 몇 시까지 하나요?,클로징시간문의,배달음식점
종류는 어떤 게 있나요 치킨이?,메뉴문의,배달음식점
4인이 먹으려고 하는데 한 몇 마리 시키면 돼요?,양에대한질문,배달음식점
주로 잘 나가는 메뉴가 있어요?,베스트메뉴문의추천요청,배달음식점
그거 가격이 얼마에요?,가격문의,배달음식점
그거 주문하면 오는데 시간이 얼마나 걸리나요?,배달시간문의,배달음식점
죄송하지만 배달 가능합니까?,배달가능문의,배달음식점
그럼 단일 품목 딱 한 개로 배달하는 거에요?,메뉴문의,배달음식점
그럼 뼈 있는 건 얼마에요?,가격문의,배달음식점
순살도 마찬가지네요 가격은?,가격문의,배달음식점
그러면 그 안에 그 닭고기하고 야채는 어떤 거 들어가요?,식재료문의,배달음식점
그러면 공깃밥 추가하면 추가로 돈 드려야 돼요?,메뉴추가문의요청,배달음식점
그러면 음료수는 서비스 오는 게 있나요?,서비스문의,배달음식점
주문하면 침산동까지 한 몇 분 걸려요 도착하면?,배달시간문의,배달음식점
지금 배달되나요?,배달가능문의,배달음식점
그 메뉴가 어떤 거 어떤 게 있어요?,메뉴문의,배달음식점
아 그러면 가격대가 한 4인 가족이 먹으려면 어떤 걸 시켜야 돼요?,양에대한질문,배달음식점
양념이 어떤 거 어떤 거 있어요?,메뉴문의,배달음식점
가격은 얼마 얼마 있어요?,가격문의,배달음식점
배달비 따로 있어요?,배달비문의,배달음식점
네 수고하십니다 저 죄송하지만 배달은 2인분 이상 가능하죠?,1인분배달문의,배달음식점
찜닭 한 마리 잘나가는 종류가 뭐가 있나요?,베스트메뉴문의추천요청,배달음식점
가격은요?,가격문의,배달음식점
피자 사십 프로 행사하고 있던데 맞아요?,할인정보문의,배달음식점
어떤 피자가 잘 나가요?,베스트메뉴문의추천요청,배달음식점
블랙 앵거스가 뭐예요?,메뉴문의,배달음식점
사십 프로 할인하면 얼마인가요?,가격문의,배달음식점
주문하면 몇 분 정도 조리하나요?,배달시간문의,배달음식점
제휴카드 추가 할인은 안돼요?,제휴카드추가할인,배달음식점
언제까지 할인행사해요?,할인행사기간문의,배달음식점
일주일간 한다던데요,할인행사기간문의,배달음식점
요즘 거기 피자 모두 사십 프로 하고 있던데 맞아요?,할인정보문의,배달음식점
매일 같이 행사해요?,할인행사기간문의,배달음식점
이번 주 일주일간 매일 한다던데 아닌가요?,할인행사기간문의,배달음식점
애들 무슨 피자 좋아하나요 중고등학생들은?,베스트메뉴문의추천요청,배달음식점
새우나 육류 좋아해요,취향에따른메뉴추천요구,배달음식점
제휴카드 추가 할인은 안돼죠?,제휴카드추가할인,배달음식점
주문하면 몇 분 정도 소요돼요?,배달시간문의,배달음식점
어떤 피자가 있나요?,메뉴문의,배달음식점
대자 두 개 얼마죠?,가격문의,배달음식점
라지 한 판에 몇 명 정도 먹을 수 있어요?,양에대한질문,배달음식점
단품하고 피자 두 판 시키는 거 하고 차이가 있나요?,단품과세트메뉴차이문의,배달음식점
쿠폰을 준다고도 되어 있던데 조건이 어떻게 되는 거예요?,적립쿠폰지급조건문의,배달음식점
쿠폰은 어떻게 쓰는데요?,적립쿠폰사용방법문의,배달음식점
배달의 민족 보니까 쿠폰 있던데 그거는 어떻게 써요?,적립쿠폰사용방법문의,배달음식점
거기 벌집 피자가 있던데 어떤 거예요?,메뉴문의,배달음식점
벌집 피자에 고구마 말고는 토핑은 어떤 게 올라가요?,토핑문의,배달음식점
불고기는 안 올라가요?,토핑문의,배달음식점
벌집 피자에 불고기를 추가해서는 주문 못하나요?,특정재료첨삭요구,배달음식점
그럼 불고기 피자는 기본으로 불고기 들어갈 거고 또 어떤 토핑이 올라가죠?,토핑문의,배달음식점
그러면 불고기 피자에는 토핑을 더 추가할 수 있나요?,특정재료첨삭요구,배달음식점
모든 피자에 토핑 추가가 안되는 거예요?,토핑문의,배달음식점
벌집 피자는 라지 사이즈는 얼마지요?,가격문의,배달음식점
벌집 피자는 몇 명 정도 먹을 수 있어요?,양에대한질문,배달음식점
만약에 콜라도 추가로 주문하면 배달해주시는가요?,음료추가문의,배달음식점
작은 게 하나 따라오고 큰 거는 추가 비용을 내야되는거죠?,음료추가가격문의,배달음식점
지금 배달 가능한가요?,배달가능문의,배달음식점
지금 종류가 어떤 게 있는지 여쭤봐도 돼요?,메뉴문의,배달음식점
가격은?,가격문의,배달음식점
토핑 종류가 여러 가진데 한 판에 여러 개 주문해도 되나요?,특정재료첨삭요구,배달음식점
배달비는 따로 드려야 돼요?,배달비문의,배달음식점
배달 오시는데 소요되는 시간은 몇 분 정도에요?,배달시간문의,배달음식점
네 수고하십니다 저 지금 죄송하지만 배달 가능한가요,배달가능문의,배달음식점
지금 종류가 어떤 게 있나요?,메뉴문의,배달음식점
어떤 게 제일 잘나가나요?,베스트메뉴문의추천요청,배달음식점
가격은 어떻게 되어 있나요?,가격문의,배달음식점
작은 거는 얼마이고 큰 거는 얼마에요?,가격문의,배달음식점
한 판은 주문이 불가능한가요?,배달가능금액문의,배달음식점
한 판은 가격이 얼마에요?,가격문의,배달음식점
토핑은 어떤 걸로 되어있나요?,토핑문의,배달음식점
불고기는 그러면 소고기를 쓰나요? 한우 국산이에요?,원산지문의,배달음식점
그러면 맵거나 짜거나 이렇지는 않나요?,맛에대한질문,배달음식점
주문하면 도착하는데 시간이 몇 분 정도 걸려요?,배달시간문의,배달음식점
배달 가능한가요?,배달가능문의,배달음식점
피자 종류 중에 어떤 게 좀 잘 나가나요?,베스트메뉴문의추천요청,배달음식점
불갈비는 돼지고기로 돼 있나요?,식재료문의,배달음식점
밀가루 반죽이 얇은가요?,식재료문의,배달음식점
그러면 4인 가족이 먹으려고 하는데 사이즈는 어느 정도로 주문을 해야 되나요?,양에대한질문,배달음식점
라지는 가격대는 어떻게 되나요?,가격문의,배달음식점
토핑은 야채나 이런 것들은 어떤 게 올려져 있나요?,토핑문의,배달음식점
배달은 몇 시까지 되나요?,영업시간문의,배달음식점
지금 배달되나요?,배달가능문의,배달음식점
피자 중에 어떤 게 잘 나가나요?,베스트메뉴문의추천요청,배달음식점
가격은 얼마에요?,가격문의,배달음식점
4인 가족이 먹으려면 라지 한 판으로 가능할까요?,양에대한질문,배달음식점
아 모자라요 그러면 그 콜라는 추가로 오나요,서비스문의,배달음식점
세트로 시켜야 되나요,세트메뉴서비스문의,배달음식점
세트 메뉴는 어떤 게 잘 나가요?,베스트메뉴문의추천요청,배달음식점
원대동인데 주문할 때 배달비 드려야 되나요?,배달비문의,배달음식점
주문하면 시간은 얼마쯤 걸려요?,배달시간문의,배달음식점
피자 배달되나요?,배달가능문의,배달음식점
한 판에 얼마인가요?,가격문의,배달음식점
네 종류가 어떤 거 있나요?,메뉴문의,배달음식점
토핑은 위에 어떤 거 얹어지나요?,토핑문의,배달음식점
아 골라요 어떤 거 어떤 거 있어요?,토핑문의,배달음식점
4인 가족이 먹으려면 뭐 어떻게 시켜야 돼요?,양에대한질문,배달음식점
작아요 그러면 다른 거랑 같이 또 시켜야 되네요,양에대한질문,배달음식점
잘 나가는거 어떤 거 있어요?,베스트메뉴문의추천요청,배달음식점
네 그러면 주문하면 침산동인데 배달은 가능한가요?,배달장소범위문의,배달음식점
배달비 따로 드려요?,배달비문의,배달음식점
저 혹시 오픈시간이 어떻게 돼예?,오픈시간문의,배달음식점
아 그럼 배달도 되구예?,배달가능문의,배달음식점
그럼 배달료 따로 받던데 받나요?,배달비문의,배달음식점
아 그럼 위치가 어떻게 돼요?,매장위치문의,배달음식점
아 상가에 있어요?,매장위치문의,배달음식점
아 그러면 열두 시부터 배달은 돼요?,배달가능문의,배달음식점
아 그럼 순한 맛으로 하면 가격이 어떻게 돼요?,가격문의,배달음식점
숯불로 굽습니까?,만드는방법문의,배달음식점
아 초등학생들이 먹을 거라서 좀 순하게 해야 돼서,맛에대한질문,배달음식점
아 제가 잘 몰라서 카는데 초등학교 일학년 되는 애들은 그거 시키면 몇 명이 먹어요?,양에대한질문,배달음식점
거기 비비큐 오리지널 후라이드랑 황금올리브유 차이가 뭐에요?,메뉴차이문의,배달음식점
그럼 거기 낮에 몇 시에 오픈해요 내일?,오픈시간문의,배달음식점
아 혹시 배달료 따로 받던데 배달료는 있나요?,배달비문의,배달음식점
그럼 위치가 어디쯤 되나요?,매장위치문의,배달음식점
거기 매운 거밖에 없나요?,맛에대한질문,배달음식점
뭐뭐 있는데예?,메뉴문의,배달음식점
몇시에 오픈하세요?,오픈시간문의,배달음식점
혹시 배달료 따로 받나요?,배달비문의,배달음식점
배달료 얼마 받는데요?,배달비문의,배달음식점
아 간장치킨 가격은 얼만데요?,가격문의,배달음식점
그 불갈비 치킨은 시간이 얼마나 걸려예?,배달시간문의,배달음식점
배달하면 배달료 따로 있나요?,배달비문의,배달음식점
거기 위치가 어디라예?,매장위치문의,배달음식점
오픈은 몇 시에 해요?,오픈시간문의,배달음식점
맵진 않죠?,맛에대한질문,배달음식점
예 대성스카이렉스 백이동 천오백삼호인데 후라이드 한 마리만 배달해주세요,주소지로배달요청,배달음식점
아 그럼 어디까지 해요?,배달장소범위문의,배달음식점
그럼 퀵은 배송비 얼마 들어요?,배달비문의,배달음식점
그럼 통닭 값이랑 거기다가 오천 원 더 들어간다는 거죠?,배달비문의,배달음식점
예 비비큐 월성점이죠?,매장확인,배달음식점
그 후라이드 시킬 건데 요기요 통하면 50프로 디씨된다 하던데,메뉴할인문의,배달음식점
네 제가 혹시 요기요로 주문했는데 배달할인 7000원이 되나요? 어제까지는 반반인데 오늘 7000원 그러는거 같던데,메뉴할인문의,배달음식점
그러면 황금 올리브 치킨이나 아니면 그냥 반반 시킬려고 하는데 어떤 게 더 잘나가요?,베스트메뉴문의추천요청,배달음식점
그 슈프림 치킨 있죠?,메뉴문의,배달음식점
어떤 게 잘 나가요? 요즘에,베스트메뉴문의추천요청,배달음식점
슈프림요 근데 이게 느끼하지는 않나요?,맛에대한질문,배달음식점
뭐가 들어가죠? 슈프림,식재료문의,배달음식점
후라이드가 더 잘나가요? 양념이 더 잘나가요?,베스트메뉴문의추천요청,배달음식점
아 그래요 후라이드 플러스 슈프림치킨 반반하면 얼마죠?,가격문의,배달음식점
요기 배달료 포함인가요?,배달비문의,배달음식점
그러면 후라이드 플러스 슈프림치킨 반반으로 해주세요,식사배달요청,배달음식점
두 개 하면은?,메뉴문의,배달음식점
제가 지금 결제해놓으면 이따가 배달해주실 수 있죠?,예약배달문의,배달음식점
중간 사이즈 두 개짜리도 있나요?,세트메뉴구성문의,배달음식점
 피자는 종류가 고기 종류로 나눠지나요?,세트메뉴종류문의,배달음식점
이게 콤비네이션인가요?,메뉴문의,배달음식점
 피자 치즈는 뭐 써요?,식재료문의,배달음식점
치킨도 있어요?,메뉴문의,배달음식점
어떤 게 맛있어요?,베스트메뉴문의추천요청,배달음식점
이것도 단품도 있나요?,메뉴문의,배달음식점
그러면 스테이크 불갈비 피자 라지로 하나,식사배달요청,배달음식점
얼마에요?,가격문의,배달음식점
결제는 미리 하고 갈 건데요?,선결제문의,배달음식점
그럼 여기서는 얼만데요?,홀가격과배달가격차이문의,배달음식점
그럼 레귤러는?,홀가격과배달가격차이문의,배달음식점
아 그러면 요걸로 주세요,식사배달요청,배달음식점
큐브 피자인가? 새로 나온 거예요?,신메뉴문의,배달음식점
애들 초등학생들 뭐 좋아하는데요?,취향에따른메뉴추천요구,배달음식점
갈릭 스테이크 라지는 몇 명 정도 먹는데요?,양에대한질문,배달음식점
배달료 따로 받아요?,배달비문의,배달음식점
얼마에요?,가격문의,배달음식점
"낮에 시켜야 되거든요, 배달 시간은 언제 돼요?",배달시간문의,배달음식점
